contestTitle,patentID,PriorArtID,contestLink
Arlington Technologies: US-7324491-B1 (Over-the-air Bandwidth Reservations in Wireless Networks),US7324491,US 7133396; US 5644576; IEEE 802.11e Wireless LAN for Quality of Service (“Mangold”); US 20030103520; US 6785252; US 9380068; US 9235801; US 20030142872; US 9197845,https://patroll.unifiedpatents.com/contests/pi2zJMEaKSSSan3Jc
Arlington Technologies: US-7193986-B2 (Wireless Network MAC Protocol),US7193986,US 7133396; US 5644576; IEEE 802.11e Wireless LAN for Quality of Service (“Mangold”); US 20030103520; US 6785252; US 9380068; US 9235801; US 20030142872; US 9197845,https://patroll.unifiedpatents.com/contests/fw9aawn5x2CwqWrzo
Arlington Technologies: US-10735258-B2 (Self-allocating Resources),US10735258,US 7133396; US 5644576; IEEE 802.11e Wireless LAN for Quality of Service (“Mangold”); US 20030103520; US 6785252; US 9380068; US 9235801; US 20030142872; US 9197845,https://patroll.unifiedpatents.com/contests/hZpykB89jfMWypqCa
Arlington Technologies: US-11381626-B2 (Video Codec for High Resolution and High Frame Rate Video),US11381626,US 7133396; US 5644576; IEEE 802.11e Wireless LAN for Quality of Service (“Mangold”); US 20030103520; US 6785252; US 9380068; US 9235801; US 20030142872; US 9197845,https://patroll.unifiedpatents.com/contests/46qP3CNmK2Nsbtp7R
Croga Innovations: US-11178104-B2 (Network Isolation with Cloud Networks),US11178104,,https://patroll.unifiedpatents.com/contests/mJ5QT4wkDCCjhy9xb
Accessify: US-7197640-B2 (ID Codes in Mass Communications),US7197640,,https://patroll.unifiedpatents.com/contests/9MJJMYT8eRaogTsrP
Morris Routing: US-10594594-B1 (Routing Methods),US10594594,EP 0455959; US 8744419; US 20100265955; US 8737267; US 8983468; US 7668082; US 7035259; US 20120093164; US 20030193944,https://patroll.unifiedpatents.com/contests/pFbj6jsivDhx6jDpJ
Omni Medsci: US-9055868-B2 (Voice Control of Medical Devices),US9055868,,https://patroll.unifiedpatents.com/contests/PZSeEL8B2wmrWuFjg
Morris Routing: US-10419335-B1 (Routing Based on a Path-Based Protocol Address),US10419335,EP 0455959; US 8744419; US 20100265955; US 8737267; US 8983468; US 7668082; US 7035259; US 20120093164; US 20030193944,https://patroll.unifiedpatents.com/contests/FLhWFLXkXApneYk9N
Granite Vehicle Ventures: US-12037004-B2 (Driving Mode of a Self-Driving Vehicle),US12037004,,https://patroll.unifiedpatents.com/contests/G2ZqtvcKwR5WEPNab
